source,target,relation_type,tweet_id,usernames
1155617398675988481,498970290,mentioned,1833538957847761270,"('CubReserva', 'marnguate')"
1155617398675988481,46398081,mentioned,1833538957847761270,"('CubReserva', 'karinapazGt')"
1155617398675988481,1831093180407627776,mentioned,1833538957847761270,"('CubReserva', 'vecinosz16')"
1311834124450172928,2460672423,mentioned,1833482764139516067,"('AlexDeL92022343', 'piero_coen')"
1311834124450172928,1744119413383598080,mentioned,1833482764139516067,"('AlexDeL92022343', 'FJimenezmingob')"
1311834124450172928,93938886,mentioned,1833482764139516067,"('AlexDeL92022343', 'traficogt')"
1311834124450172928,89030065,mentioned,1833482764139516067,"('AlexDeL92022343', 'mingobguate')"
1311834124450172928,130315077,mentioned,1833482764139516067,"('AlexDeL92022343', 'PNCdeGuatemala')"
1311834124450172928,260318585,mentioned,1833482764139516067,"('AlexDeL92022343', 'DiariodeCA')"
1311834124450172928,235332308,mentioned,1833482764139516067,"('AlexDeL92022343', 'AGN_noticias')"
1311834124450172928,145724847,mentioned,1833482764139516067,"('AlexDeL92022343', 'Radio_TGW')"
1311834124450172928,495102115,mentioned,1833482764139516067,"('AlexDeL92022343', 'GuatemalaGob')"
1747398811792687104,1816584656868831234,mentioned,1833369023083360262,"('Bullgarrafuerte', 'erwin_fern84019')"
1747398811792687104,2460672423,mentioned,1833369023083360262,"('Bullgarrafuerte', 'piero_coen')"
1747398811792687104,1744119413383598080,mentioned,1833369023083360262,"('Bullgarrafuerte', 'FJimenezmingob')"
1747398811792687104,93938886,mentioned,1833369023083360262,"('Bullgarrafuerte', 'traficogt')"
1747398811792687104,89030065,mentioned,1833369023083360262,"('Bullgarrafuerte', 'mingobguate')"
1747398811792687104,130315077,mentioned,1833369023083360262,"('Bullgarrafuerte', 'PNCdeGuatemala')"
1747398811792687104,260318585,mentioned,1833369023083360262,"('Bullgarrafuerte', 'DiariodeCA')"
1747398811792687104,235332308,mentioned,1833369023083360262,"('Bullgarrafuerte', 'AGN_noticias')"
1747398811792687104,145724847,mentioned,1833369023083360262,"('Bullgarrafuerte', 'Radio_TGW')"
1747398811792687104,495102115,mentioned,1833369023083360262,"('Bullgarrafuerte', 'GuatemalaGob')"
3303444667,33607101,mentioned,1833297291127476341,"('dbeatrizmb', 'luisficarpediem')"
3303444667,93938886,mentioned,1833297291127476341,"('dbeatrizmb', 'traficogt')"
33607101,93938886,mentioned,1833295367493828798,"('luisficarpediem', 'traficogt')"
93938886,257722705,quote,1833230834649993598,"('traficogt', 'PrensaComunitar')"
942309354,2460672423,mentioned,1833171131727032574,"('sor_monroy', 'piero_coen')"
